frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
0,0.0,1,0,person,0.833,69.4,198.4,308.1,551.7,188.7,375.1,0.0,0.0,0.0,0.0
0,0.0,2,0,person,0.788,822.4,100.7,920.8,265.1,871.6,182.9,0.0,0.0,0.0,0.0
1,0.033,1,0,person,0.805,74.4,198.1,312.8,551.2,193.6,374.6,4.89,-0.42,4.91,-0.42
1,0.033,2,0,person,0.584,826.1,97.2,923.2,259.5,874.6,178.4,3.01,-4.54,5.45,-4.54
2,0.067,1,0,person,0.785,83.2,199.7,320.7,552.0,202.0,375.8,8.36,1.18,8.45,1.6
2,0.067,2,0,person,0.714,826.5,91.8,926.0,258.6,876.3,175.2,1.63,-3.17,3.56,1.38
3,0.1,1,0,person,0.747,93.8,204.6,331.1,555.9,212.4,380.2,10.47,4.42,11.36,3.23
3,0.1,2,0,person,0.665,826.3,87.2,927.6,257.6,877.0,172.4,0.74,-2.8,2.89,0.37
4,0.133,1,0,person,0.802,122.6,206.5,359.3,555.6,241.0,381.0,28.51,0.79,28.52,-3.63
4,0.133,2,0,person,0.618,833.1,85.3,929.7,249.2,881.4,167.2,4.39,-5.18,6.79,-2.38
5,0.167,1,0,person,0.822,148.0,215.6,397.0,580.1,272.5,397.9,31.55,16.86,35.77,16.07
5,0.167,2,0,person,0.592,843.4,83.3,932.5,235.6,888.0,159.4,6.58,-7.81,10.21,-2.62
6,0.2,1,0,person,0.805,164.4,222.2,417.5,592.0,291.0,407.1,18.47,9.2,20.63,-7.66
6,0.2,2,0,person,0.521,845.9,84.5,930.5,229.9,888.2,157.2,0.26,-2.22,2.24,5.59
6,0.2,4,0,person,0.475,756.8,86.8,863.2,201.8,810.0,144.3,0.0,0.0,0.0,0.0
7,0.233,1,0,person,0.851,174.7,229.9,426.1,597.5,300.4,413.7,9.44,6.61,11.52,-2.59
7,0.233,2,0,person,0.715,845.2,91.0,927.2,231.8,886.2,161.4,-2.02,4.17,4.63,6.39
8,0.267,1,0,person,0.849,196.0,240.7,442.1,600.7,319.0,420.7,18.64,7.02,19.92,0.42
8,0.267,2,0,person,0.614,850.6,95.9,931.6,233.7,891.1,164.8,4.91,3.42,5.98,-0.75
9,0.3,1,0,person,0.804,225.5,255.6,465.2,604.3,345.4,430.0,26.33,9.25,27.91,2.23
9,0.3,2,0,person,0.555,870.8,100.7,946.8,228.2,908.8,164.4,17.72,-0.35,17.72,-3.77
10,0.333,1,0,person,0.853,252.0,278.1,481.0,607.7,366.5,442.9,21.13,12.91,24.76,3.66
10,0.333,2,0,person,0.632,894.4,102.2,968.5,226.6,931.5,164.4,22.66,-0.06,22.66,0.3
11,0.367,1,0,person,0.806,283.9,302.2,500.8,608.4,392.3,455.3,25.83,12.42,28.67,-0.49
11,0.367,2,0,person,0.64,907.7,104.8,981.9,228.9,944.8,166.8,13.29,2.47,13.52,2.52
12,0.4,1,0,person,0.845,302.0,317.0,518.3,613.0,410.2,465.0,17.84,9.69,20.31,-2.73
12,0.4,2,0,person,0.637,913.6,106.2,989.0,231.6,951.3,168.9,6.48,2.07,6.81,-0.39
13,0.433,1,0,person,0.85,323.8,329.5,538.1,615.4,430.9,472.5,20.74,7.47,22.04,-2.22
13,0.433,2,0,person,0.57,916.9,108.5,990.2,231.3,953.6,169.9,2.29,0.96,2.48,-1.11
14,0.467,1,0,person,0.816,351.0,350.3,555.5,612.8,453.2,481.6,22.3,9.09,24.08,1.62
14,0.467,2,0,person,0.488,922.3,106.1,989.6,221.0,956.0,163.6,2.4,-6.32,6.76,-7.28
15,0.5,1,0,person,0.787,370.5,367.8,565.0,608.1,467.7,488.0,14.53,6.4,15.87,-2.68
15,0.5,2,0,person,0.525,928.8,102.4,993.0,212.5,960.9,157.5,4.94,-6.1,7.85,0.22
16,0.533,1,0,person,0.641,405.3,376.2,601.8,605.0,503.6,490.6,35.82,2.66,35.92,-3.74
16,0.533,2,0,person,0.418,929.8,103.4,989.4,206.4,959.6,154.9,-1.27,-2.52,2.83,3.57
17,0.567,1,0,person,0.698,460.1,400.1,647.3,604.0,553.7,502.0,50.11,11.4,51.39,8.74
17,0.567,2,0,person,0.585,935.3,103.0,993.6,203.3,964.5,153.1,4.84,-1.81,5.17,0.71
18,0.6,2,0,person,0.539,940.9,102.0,996.7,197.1,968.8,149.6,4.32,-3.54,5.58,-1.73
19,0.633,2,0,person,0.65,944.8,103.6,999.2,195.5,972.0,149.5,3.24,-0.04,3.24,3.5
19,0.633,1,0,person,0.507,517.7,436.7,675.9,600.0,596.8,518.4,21.56,8.17,23.05,-1.62
20,0.667,2,0,person,0.589,947.5,107.4,1000.2,196.1,973.8,151.7,1.83,2.19,2.85,2.23
20,0.667,1,0,person,0.331,543.9,464.1,680.2,600.4,612.1,532.3,15.26,13.9,20.64,5.73
21,0.7,2,0,person,0.624,949.6,106.4,1003.8,199.4,976.7,152.9,2.84,1.14,3.06,-1.05
22,0.733,2,0,person,0.468,948.8,106.0,1002.6,199.9,975.7,152.9,-0.98,0.03,0.98,-1.11
22,0.733,21,0,person,0.666,643.3,106.3,707.7,249.3,675.5,177.8,0.0,0.0,0.0,0.0
23,0.767,21,0,person,0.65,639.1,108.4,703.1,250.3,671.1,179.4,-4.39,1.55,4.66,1.55
25,0.833,21,0,person,0.404,634.0,110.8,700.1,257.3,667.1,184.1,-2.03,2.35,3.1,0.4
26,0.867,21,0,person,0.315,636.3,109.3,703.0,257.3,669.6,183.3,2.59,-0.78,2.7,-3.13
27,0.9,21,0,person,0.512,637.8,110.2,704.9,257.6,671.3,183.9,1.69,0.63,1.8,1.41
28,0.933,21,0,person,0.6,638.9,110.3,706.5,256.8,672.7,183.6,1.35,-0.35,1.4,-0.98
30,1.0,21,0,person,0.581,621.0,104.3,695.7,265.7,658.3,185.0,-7.18,0.72,7.21,0.53
31,1.033,21,0,person,0.681,618.0,99.1,696.1,267.6,657.1,183.3,-1.27,-1.67,2.1,-2.39
32,1.067,21,0,person,0.707,612.5,84.1,698.2,269.1,655.3,176.6,-1.75,-6.73,6.96,-5.06
33,1.1,21,0,person,0.712,605.1,78.5,693.8,271.4,649.5,175.0,-5.83,-1.65,6.06,5.09
34,1.133,21,0,person,0.71,597.9,59.9,693.1,269.5,645.5,164.7,-4.01,-10.24,10.99,-8.59
35,1.167,21,0,person,0.686,599.4,77.5,686.6,268.1,643.0,172.8,-2.5,8.1,8.47,18.33
36,1.2,21,0,person,0.657,599.1,78.2,685.6,267.2,642.4,172.7,-0.6,-0.14,0.62,-8.24
37,1.233,21,0,person,0.714,601.9,89.6,684.4,268.1,643.2,178.8,0.8,6.16,6.21,6.3
38,1.267,21,0,person,0.725,600.5,84.1,687.2,271.5,643.8,177.8,0.65,-1.04,1.23,-7.2
39,1.3,21,0,person,0.692,604.6,81.7,692.4,271.2,648.5,176.4,4.66,-1.34,4.85,-0.3
40,1.333,21,0,person,0.729,609.8,77.1,698.5,268.7,654.1,172.9,5.66,-3.56,6.69,-2.22
41,1.367,21,0,person,0.731,612.8,79.0,700.0,267.4,656.4,173.2,2.24,0.31,2.26,3.87
42,1.4,21,0,person,0.734,612.2,78.0,700.7,268.8,656.5,173.4,0.1,0.24,0.26,-0.08
43,1.433,21,0,person,0.685,614.1,75.2,704.5,270.8,659.3,173.0,2.78,-0.45,2.82,-0.69
44,1.467,21,0,person,0.65,616.8,75.0,707.8,272.4,662.3,173.7,3.05,0.75,3.14,1.2
45,1.5,21,0,person,0.657,618.2,76.0,709.6,275.7,663.9,175.8,1.59,2.11,2.64,1.36
46,1.533,21,0,person,0.716,620.6,74.6,711.9,275.7,666.2,175.1,2.33,-0.7,2.43,-2.81
47,1.567,21,0,person,0.699,622.8,77.3,712.3,275.8,667.6,176.6,1.34,1.45,1.97,2.15
48,1.6,21,0,person,0.684,628.2,81.0,715.3,273.5,671.8,177.3,4.19,0.66,4.24,-0.79
49,1.633,21,0,person,0.699,633.9,91.4,716.2,270.9,675.0,181.2,3.26,3.9,5.08,3.24
50,1.667,21,0,person,0.663,636.3,98.9,715.4,269.7,675.8,184.3,0.8,3.14,3.24,-0.76
51,1.7,21,0,person,0.67,634.6,103.0,713.5,271.2,674.0,187.1,-1.79,2.82,3.34,-0.32
52,1.733,21,0,person,0.707,633.5,101.2,713.8,271.5,673.7,186.4,-0.38,-0.77,0.85,-3.58
53,1.767,21,0,person,0.712,633.6,91.0,718.3,271.0,675.9,181.0,2.26,-5.35,5.81,-4.58
54,1.8,21,0,person,0.694,634.8,85.6,721.9,271.0,678.4,178.3,2.47,-2.72,3.68,2.62
55,1.833,21,0,person,0.641,636.3,78.9,725.6,269.9,681.0,174.4,2.6,-3.91,4.69,-1.18
56,1.867,21,0,person,0.697,640.7,98.1,721.9,269.9,681.3,184.0,0.33,9.63,9.64,13.54
57,1.9,21,0,person,0.629,639.1,97.8,721.1,269.8,680.1,183.8,-1.21,-0.22,1.23,-9.86
58,1.933,21,0,person,0.706,631.5,77.5,721.0,267.6,676.3,172.6,-3.84,-11.2,11.84,-10.98
59,1.967,21,0,person,0.657,628.2,69.1,719.6,264.4,673.9,166.8,-2.32,-5.82,6.27,5.38
60,2.0,21,0,person,0.705,628.1,66.2,719.6,263.1,673.9,164.6,-0.05,-2.12,2.12,3.7
61,2.033,21,0,person,0.651,626.3,66.0,718.6,265.9,672.4,165.9,-1.45,1.3,1.95,3.43
62,2.067,21,0,person,0.64,625.1,69.7,715.8,266.8,670.5,168.2,-1.98,2.3,3.03,1.0
63,2.1,21,0,person,0.65,624.1,70.9,713.9,266.8,669.0,168.9,-1.49,0.61,1.61,-1.69
64,2.133,21,0,person,0.599,624.4,75.3,712.2,267.1,668.3,171.2,-0.64,2.34,2.42,1.73
65,2.167,21,0,person,0.602,630.5,95.1,711.6,270.0,671.0,182.5,2.7,11.32,11.64,8.98
66,2.2,21,0,person,0.682,627.3,78.5,718.2,276.5,672.7,177.5,1.69,-5.01,5.29,-16.33
67,2.233,21,0,person,0.681,624.6,71.7,719.3,279.8,672.0,175.7,-0.76,-1.77,1.93,3.23
68,2.267,21,0,person,0.648,629.5,91.6,715.5,278.9,672.5,185.3,0.54,9.52,9.53,11.29
69,2.3,21,0,person,0.658,630.6,92.8,715.6,278.1,673.1,185.5,0.62,0.22,0.65,-9.3
70,2.333,21,0,person,0.631,631.3,99.8,713.3,276.8,672.3,188.3,-0.86,2.85,2.98,2.63
71,2.367,21,0,person,0.72,632.9,98.1,714.1,271.9,673.5,185.0,1.24,-3.34,3.56,-6.19
72,2.4,21,0,person,0.708,632.9,84.4,718.8,268.7,675.9,176.6,2.37,-8.43,8.75,-5.09
73,2.433,21,0,person,0.711,633.2,75.9,721.0,264.6,677.1,170.3,1.19,-6.29,6.41,2.13
74,2.467,21,0,person,0.634,637.3,76.5,724.0,261.5,680.7,169.0,3.61,-1.25,3.82,5.05
75,2.5,21,0,person,0.674,639.7,72.1,728.3,260.0,684.0,166.0,3.33,-2.98,4.46,-1.73
76,2.533,21,0,person,0.638,645.4,88.8,728.4,260.6,686.9,174.7,2.91,8.65,9.12,11.62
77,2.567,21,0,person,0.439,649.8,99.5,731.2,264.1,690.5,181.8,3.61,7.1,7.96,-1.55
78,2.6,21,0,person,0.669,655.3,103.7,736.8,263.4,696.0,183.6,5.52,1.79,5.81,-5.3
79,2.633,21,0,person,0.655,657.1,105.3,738.5,259.9,697.8,182.6,1.78,-0.94,2.01,-2.73
80,2.667,21,0,person,0.602,657.8,104.9,740.8,258.3,699.3,181.6,1.48,-1.07,1.83,-0.14
81,2.7,21,0,person,0.651,655.3,107.6,740.1,260.2,697.7,183.9,-1.57,2.33,2.81,3.41
82,2.733,21,0,person,0.687,651.0,108.4,739.1,262.5,695.0,185.4,-2.68,1.54,3.09,-0.79
83,2.767,21,0,person,0.694,647.6,108.7,737.2,263.1,692.4,185.9,-2.63,0.48,2.67,-1.06
84,2.8,21,0,person,0.707,644.3,110.5,735.6,265.0,690.0,187.8,-2.42,1.83,3.04,1.35
85,2.833,21,0,person,0.634,642.3,112.3,734.2,265.7,688.2,189.0,-1.75,1.27,2.16,-0.56
86,2.867,21,0,person,0.641,640.1,114.9,732.7,268.0,686.4,191.5,-1.85,2.45,3.07,1.17
89,2.967,21,0,person,0.326,634.2,114.7,726.3,265.6,680.2,190.1,-2.06,-0.44,2.11,-0.96
90,3.0,21,0,person,0.453,631.0,111.3,725.1,263.6,678.0,187.5,-2.2,-2.68,3.47,-2.24
91,3.033,21,0,person,0.376,633.3,108.9,729.2,263.3,681.3,186.1,3.23,-1.37,3.51,1.31
94,3.133,9000,0,person,0.306,1115.8,99.2,1181.4,206.3,1148.6,152.8,0.0,0.0,0.0,0.0
96,3.2,9001,0,person,0.352,1137.2,102.4,1200.0,205.7,1168.6,154.0,0.0,0.0,0.0,0.0
100,3.333,9002,0,person,0.501,674.9,95.7,777.9,245.6,726.4,170.6,0.0,0.0,0.0,0.0
101,3.367,21,0,person,0.638,665.8,92.2,757.5,242.8,711.6,167.5,3.04,-1.86,3.56,-0.05
102,3.4,21,0,person,0.533,668.5,90.3,758.3,240.1,713.4,165.2,1.78,-2.3,2.91,-0.44
103,3.433,21,0,person,0.501,676.7,88.6,764.3,238.0,720.5,163.3,7.04,-1.96,7.31,0.34
104,3.467,21,0,person,0.527,679.2,88.0,764.9,237.5,722.0,162.7,1.58,-0.55,1.67,1.41
105,3.5,21,0,person,0.487,680.9,85.4,766.0,236.2,723.4,160.8,1.39,-1.93,2.38,-1.38
106,3.533,21,0,person,0.502,676.0,85.7,761.7,237.3,718.8,161.5,-4.62,0.73,4.68,2.66
107,3.567,21,0,person,0.446,678.1,85.8,764.4,237.5,721.2,161.6,2.41,0.12,2.42,-0.61
108,3.6,21,0,person,0.603,674.5,88.7,760.9,240.8,717.7,164.8,-3.55,3.14,4.74,3.03
