frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
0,0.0,1,0,person,0.849,1000.7,76.1,1159.0,376.1,1079.8,226.1,0.0,0.0,0.0,0.0
1,0.033,1,0,person,0.774,1004.1,74.8,1162.2,374.9,1083.2,224.9,3.34,-1.25,3.56,-1.25
2,0.067,1,0,person,0.778,1005.1,74.8,1163.0,375.2,1084.1,225.0,0.91,0.13,0.92,1.38
3,0.1,1,0,person,0.855,994.3,68.2,1156.7,377.5,1075.5,222.8,-8.6,-2.2,8.88,-2.34
4,0.133,1,0,person,0.808,988.8,69.8,1151.9,380.8,1070.3,225.3,-5.17,2.46,5.72,4.66
5,0.167,1,0,person,0.726,990.3,73.4,1148.4,375.1,1069.4,224.2,-0.94,-1.05,1.41,-3.51
6,0.2,1,0,person,0.825,988.0,75.4,1148.8,383.4,1068.4,229.4,-0.95,5.21,5.29,6.25
7,0.233,1,0,person,0.827,986.0,78.5,1146.4,386.5,1066.2,232.5,-2.25,3.07,3.81,-2.13
8,0.267,1,0,person,0.774,985.6,80.8,1145.2,387.8,1065.4,234.3,-0.76,1.82,1.97,-1.25
9,0.3,1,0,person,0.831,987.0,87.4,1144.8,391.5,1065.9,239.5,0.5,5.14,5.17,3.32
10,0.333,1,0,person,0.535,989.7,92.6,1146.0,394.5,1067.8,243.5,1.92,4.05,4.48,-1.09
11,0.367,1,0,person,0.817,988.8,94.4,1144.6,395.0,1066.7,244.7,-1.11,1.2,1.63,-2.85
12,0.4,1,0,person,0.87,986.8,94.8,1142.5,394.9,1064.7,244.8,-2.05,0.12,2.05,-1.08
13,0.433,1,0,person,0.857,989.4,95.0,1138.4,380.8,1063.9,237.9,-0.76,-6.94,6.98,-7.06
14,0.467,1,0,person,0.841,975.1,94.3,1128.6,383.6,1051.9,239.0,-12.04,1.08,12.08,8.02
15,0.5,1,0,person,0.786,966.7,93.9,1123.6,384.1,1045.2,239.0,-6.69,-0.0,6.69,-1.08
16,0.533,1,0,person,0.627,957.2,90.9,1118.3,382.4,1037.8,236.6,-7.41,-2.36,7.78,-2.35
17,0.567,1,0,person,0.879,942.1,91.0,1115.9,399.3,1029.0,245.1,-8.81,8.52,12.26,10.88
