frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
0,0.0,1,0,person,0.675,486.5,292.7,553.3,493.3,519.9,393.0,0.0,0.0,0.0,0.0
0,0.0,2,0,person,0.599,916.8,324.3,1031.5,577.3,974.1,450.8,0.0,0.0,0.0,0.0
0,0.0,3,0,person,0.54,652.2,666.4,694.4,720.0,673.3,693.2,0.0,0.0,0.0,0.0
0,0.0,4,5,bus,0.474,281.1,158.8,451.3,313.2,366.2,236.0,0.0,0.0,0.0,0.0
0,0.0,5,0,person,0.402,723.2,280.5,773.0,438.4,748.1,359.5,0.0,0.0,0.0,0.0
1,0.033,1,0,person,0.719,485.8,284.0,555.9,494.4,520.9,389.2,0.93,-3.83,3.94,-3.83
1,0.033,2,0,bird,0.446,926.9,331.8,1038.0,576.0,982.5,453.9,8.33,3.08,8.88,3.08
1,0.033,3,0,person,0.567,647.3,664.3,691.2,719.9,669.2,692.1,-4.07,-1.11,4.22,-1.11
2,0.067,1,0,person,0.625,484.9,280.8,555.6,492.8,520.3,386.8,-0.58,-2.38,2.45,1.45
2,0.067,3,0,person,0.4,645.2,661.2,691.7,719.6,668.5,690.4,-0.76,-1.71,1.88,-0.61
3,0.1,1,0,person,0.623,484.2,279.9,554.7,491.1,519.4,385.5,-0.84,-1.27,1.52,1.11
3,0.1,3,0,person,0.399,645.3,658.8,694.4,719.8,669.9,689.3,1.38,-1.08,1.75,0.63
3,0.1,2,0,person,0.65,931.7,340.1,1040.6,575.1,986.1,457.6,1.82,1.85,2.59,-0.61
4,0.133,1,0,person,0.607,484.2,281.2,553.9,489.6,519.0,385.4,-0.39,-0.13,0.42,1.14
4,0.133,3,0,person,0.479,649.0,657.0,699.8,720.0,674.4,688.5,4.55,-0.81,4.63,0.28
4,0.133,2,0,person,0.472,931.4,338.5,1046.7,582.2,989.0,460.4,2.93,2.77,4.03,0.92
4,0.133,4,5,bus,0.413,275.4,144.6,451.5,304.5,363.5,224.5,-0.69,-2.87,2.95,-0.72
5,0.167,3,0,person,0.379,649.0,655.2,701.3,720.0,675.2,687.6,0.75,-0.92,1.18,-0.11
6,0.2,3,0,person,0.56,648.8,654.2,701.8,720.0,675.3,687.1,0.17,-0.47,0.5,0.45
6,0.2,4,5,bus,0.532,274.0,137.9,449.3,297.3,361.6,217.6,-0.91,-3.45,3.57,-0.29
7,0.233,3,0,person,0.543,645.9,650.7,702.0,720.0,673.9,685.3,-1.38,-1.76,2.24,-1.29
7,0.233,8,0,person,0.703,373.1,482.7,497.4,579.8,435.2,531.2,0.0,0.0,0.0,0.0
7,0.233,9,0,person,0.432,479.8,266.0,537.6,386.5,508.7,326.2,0.0,0.0,0.0,0.0
7,0.233,4,5,bus,0.751,276.9,137.5,448.4,293.4,362.7,215.4,1.05,-2.19,2.43,1.26
7,0.233,2,0,person,0.501,949.1,361.5,1054.8,574.8,1001.9,468.1,4.3,2.6,5.02,-0.06
8,0.267,3,0,person,0.517,644.7,648.9,702.5,720.0,673.6,684.4,-0.31,-0.9,0.95,0.86
8,0.267,8,0,person,0.506,379.2,486.8,495.7,578.1,437.5,532.4,2.23,1.17,2.51,1.17
8,0.267,9,0,person,0.486,480.0,264.0,538.3,385.5,509.2,324.8,0.49,-1.45,1.53,-1.45
8,0.267,4,5,bus,0.823,277.0,135.5,447.6,290.8,362.3,213.2,-0.36,-2.27,2.3,-0.08
8,0.267,2,0,person,0.543,951.3,366.7,1057.9,572.3,1004.6,469.5,2.67,1.32,2.97,-1.28
9,0.3,3,0,person,0.48,644.0,648.3,702.5,720.0,673.2,684.2,-0.39,-0.26,0.47,0.64
9,0.3,9,0,person,0.321,480.4,263.2,538.4,384.3,509.4,323.7,0.2,-1.02,1.04,0.42
9,0.3,4,5,bus,0.78,276.6,133.2,448.5,289.8,362.5,211.5,0.18,-1.68,1.69,0.59
9,0.3,2,0,person,0.615,954.0,373.5,1061.4,570.1,1007.7,471.8,3.06,2.32,3.84,1.0
10,0.333,3,0,person,0.444,644.9,647.6,704.1,720.0,674.5,683.8,1.24,-0.38,1.29,-0.12
10,0.333,9,0,person,0.498,480.7,263.4,538.3,383.6,509.5,323.5,0.12,-0.22,0.25,0.8
10,0.333,4,5,bus,0.78,276.4,131.6,448.7,288.8,362.6,210.2,0.07,-1.3,1.3,0.38
10,0.333,11,25,umbrella,0.481,343.3,360.1,585.7,459.7,464.5,409.9,0.0,0.0,0.0,0.0
11,0.367,3,0,person,0.375,643.6,645.3,704.9,720.0,674.2,682.7,-0.28,-1.13,1.16,-0.75
11,0.367,9,0,person,0.544,481.2,262.7,538.5,382.6,509.8,322.6,0.32,-0.9,0.95,-0.68
11,0.367,4,5,bus,0.712,277.9,130.8,449.4,287.3,363.7,209.0,1.11,-1.15,1.6,0.14
11,0.367,11,25,umbrella,0.41,341.7,359.9,586.6,460.6,464.2,410.2,-0.33,0.35,0.48,0.35
11,0.367,5,0,person,0.402,737.3,279.2,783.8,416.1,760.5,347.6,1.13,-1.08,1.56,-0.1
12,0.4,3,0,person,0.367,642.6,643.6,705.8,720.0,674.2,681.8,-0.02,-0.85,0.85,0.28
12,0.4,4,5,bus,0.593,280.1,130.7,450.8,286.6,365.5,208.6,1.78,-0.4,1.82,0.75
13,0.433,9000,25,umbrella,0.314,312.2,367.1,549.8,488.7,431.0,427.9,0.0,0.0,0.0,0.0
13,0.433,9001,0,person,0.302,339.0,497.0,457.9,575.6,398.5,536.3,0.0,0.0,0.0,0.0
14,0.467,11,25,umbrella,0.394,285.1,367.2,580.4,489.9,432.7,428.6,-10.47,6.1,12.12,1.92
14,0.467,4,5,bus,0.341,282.3,129.1,451.5,283.6,366.9,206.3,0.71,-1.15,1.35,-0.37
15,0.5,11,25,umbrella,0.392,274.0,367.5,584.5,498.3,429.2,432.9,-3.5,4.37,5.6,-1.74
15,0.5,4,5,bus,0.624,283.7,129.0,451.5,282.2,367.6,205.6,0.72,-0.73,1.02,0.42
16,0.533,11,25,umbrella,0.518,278.3,367.2,578.6,495.1,428.5,431.2,-0.78,-1.75,1.92,-6.12
16,0.533,4,5,bus,0.629,284.0,128.0,451.6,280.9,367.8,204.5,0.2,-1.13,1.15,-0.41
16,0.533,5,0,person,0.43,739.2,276.0,791.8,417.8,765.5,346.9,0.99,-0.14,1.0,0.19
17,0.567,11,25,umbrella,0.606,282.5,366.9,574.3,492.7,428.4,429.8,-0.1,-1.36,1.36,0.39
17,0.567,4,5,bus,0.552,282.9,123.8,452.8,279.1,367.8,201.5,0.04,-3.03,3.03,-1.9
18,0.6,11,25,umbrella,0.391,275.6,367.8,580.7,501.6,428.2,434.7,-0.19,4.88,4.88,6.24
19,0.633,4,5,bus,0.609,283.4,119.5,453.2,274.9,368.3,197.2,0.25,-2.11,2.13,0.46
20,0.667,16,0,person,0.657,300.1,430.8,415.1,566.1,357.6,498.4,0.0,0.0,0.0,0.0
20,0.667,4,5,bus,0.53,284.2,119.4,453.0,274.0,368.6,196.7,0.26,-0.52,0.58,1.59
20,0.667,3,0,person,0.482,643.5,632.9,713.6,719.7,678.5,676.3,0.54,-0.69,0.88,0.02
21,0.7,16,0,person,0.685,301.0,425.8,419.4,565.0,360.2,495.4,2.61,-3.07,4.03,-3.07
21,0.7,3,0,person,0.467,647.1,633.2,714.9,719.8,681.0,676.5,2.5,0.16,2.5,0.84
22,0.733,16,0,person,0.502,304.8,423.4,425.2,564.9,365.0,494.1,4.8,-1.23,4.96,1.84
22,0.733,3,0,person,0.443,651.1,633.5,716.5,719.8,683.8,676.6,2.76,0.18,2.77,0.02
22,0.733,4,5,bus,0.397,284.4,118.1,453.2,272.4,368.8,195.3,0.11,-0.72,0.73,-0.1
23,0.767,16,0,person,0.395,310.9,416.8,436.0,563.8,373.4,490.3,8.44,-3.79,9.25,-2.57
23,0.767,3,0,person,0.513,653.7,633.6,716.9,719.8,685.3,676.7,1.5,0.07,1.51,-0.1
23,0.767,9,0,person,0.357,490.1,253.5,543.6,367.2,516.8,310.4,0.58,-1.02,1.18,-0.01
24,0.8,16,0,umbrella,0.777,332.5,445.3,434.0,562.3,383.3,503.8,9.82,13.46,16.66,17.25
24,0.8,3,0,person,0.562,652.3,632.9,714.8,719.8,683.6,676.4,-1.73,-0.34,1.76,-0.42
24,0.8,4,5,bus,0.477,285.4,116.6,454.1,271.0,369.8,193.8,0.47,-0.72,0.86,0.0
25,0.833,3,0,person,0.417,649.7,632.1,712.3,719.8,681.0,676.0,-2.54,-0.42,2.57,-0.08
25,0.833,4,5,bus,0.622,285.4,116.5,454.3,271.5,369.8,194.0,0.06,0.2,0.21,0.92
25,0.833,5,0,person,0.439,727.6,229.5,799.0,413.7,763.3,321.6,-0.25,-2.82,2.83,-0.3
26,0.867,3,0,person,0.481,646.0,628.1,711.1,719.9,678.5,674.0,-2.51,-1.98,3.2,-1.56
26,0.867,4,5,bus,0.569,285.0,113.3,456.2,270.9,370.6,192.1,0.75,-1.9,2.05,-2.1
26,0.867,5,0,person,0.516,725.4,226.6,799.6,413.1,762.5,319.9,-0.74,-1.7,1.86,1.11
27,0.9,3,0,person,0.456,644.3,625.9,710.6,719.9,677.4,672.9,-1.09,-1.1,1.55,0.87
27,0.9,4,5,bus,0.72,287.8,114.4,456.2,269.8,372.0,192.1,1.41,0.0,1.41,1.9
27,0.9,5,0,person,0.494,723.8,222.1,800.9,413.2,762.3,317.7,-0.22,-2.2,2.22,-0.5
27,0.9,11,25,person,0.384,225.3,369.3,632.9,560.2,429.1,464.8,0.1,3.34,3.34,-0.17
28,0.933,3,0,person,0.574,644.2,624.6,711.0,719.9,677.6,672.2,0.16,-0.66,0.68,0.44
28,0.933,4,5,bus,0.751,290.8,115.6,455.6,267.7,373.2,191.6,1.24,-0.47,1.32,-0.47
28,0.933,5,0,person,0.544,723.4,220.7,801.8,413.5,762.6,317.1,0.27,-0.55,0.61,1.65
28,0.933,1,0,person,0.581,495.6,250.1,566.9,460.8,531.2,355.4,0.51,-1.25,1.35,-0.05
28,0.933,16,0,person,0.818,341.1,381.4,496.0,563.6,418.6,472.5,8.83,-7.83,11.8,-5.32
29,0.967,3,0,person,0.529,644.9,624.3,711.4,719.9,678.2,672.1,0.57,-0.14,0.59,0.52
29,0.967,4,5,bus,0.768,292.8,114.3,457.3,266.7,375.0,190.5,1.8,-1.11,2.11,-0.63
29,0.967,5,0,person,0.534,726.7,221.0,804.5,413.5,765.6,317.3,2.99,0.16,3.0,0.71
29,0.967,1,0,person,0.615,504.1,255.9,575.1,459.3,539.6,357.6,8.36,2.17,8.64,3.42
29,0.967,16,0,person,0.762,344.2,371.3,502.6,561.0,423.4,466.2,4.84,-6.32,7.96,1.51
30,1.0,3,0,person,0.625,645.2,623.4,712.0,719.9,678.6,671.6,0.42,-0.44,0.61,-0.3
30,1.0,4,5,bus,0.76,293.8,112.0,459.5,266.0,376.6,189.0,1.59,-1.52,2.19,-0.41
30,1.0,5,0,person,0.308,728.9,229.7,803.2,411.3,766.0,320.5,0.47,3.22,3.25,3.06
30,1.0,1,0,person,0.408,507.9,259.4,577.2,458.3,542.6,358.9,3.02,1.25,3.27,-0.92
30,1.0,16,0,person,0.823,349.1,363.9,507.8,558.5,428.5,461.2,5.04,-4.92,7.04,1.4
31,1.033,3,0,person,0.531,646.2,622.4,713.3,719.9,679.7,671.1,1.15,-0.5,1.25,-0.06
31,1.033,4,5,bus,0.741,296.8,113.0,459.2,263.8,378.0,188.4,1.39,-0.65,1.54,0.87
31,1.033,1,0,person,0.681,514.0,252.9,586.2,457.7,550.1,355.3,7.53,-3.54,8.33,-4.79
31,1.033,16,0,person,0.835,355.8,356.3,515.6,558.2,435.7,457.2,7.25,-4.0,8.28,0.91
32,1.067,3,0,person,0.409,654.2,624.4,718.4,719.9,686.3,672.2,6.6,1.02,6.68,1.52
