frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
0,0.0,1,0,person,0.549,624.6,266.4,739.2,528.0,681.9,397.2,0.0,0.0,0.0,0.0
0,0.0,2,0,person,0.531,643.4,196.0,744.2,366.8,693.8,281.4,0.0,0.0,0.0,0.0
0,0.0,3,62,tv,0.527,281.7,7.2,1209.6,717.7,745.7,362.5,0.0,0.0,0.0,0.0
0,0.0,4,0,person,0.43,483.9,276.8,662.5,566.1,573.2,421.5,0.0,0.0,0.0,0.0
1,0.033,1,0,person,0.641,623.8,263.9,745.9,542.8,684.9,403.3,3.0,6.17,6.85,6.17
1,0.033,2,0,person,0.654,652.6,194.1,741.0,343.4,696.8,268.7,3.01,-12.68,13.04,-12.68
1,0.033,3,62,tv,0.53,295.5,6.8,1219.7,714.7,757.6,360.7,11.94,-1.74,12.07,-1.74
1,0.033,4,0,person,0.577,497.4,281.6,675.3,569.1,586.3,425.4,13.15,3.9,13.72,3.9
2,0.067,1,0,person,0.721,626.0,262.9,750.7,548.4,688.4,405.7,3.48,2.33,4.19,-3.84
2,0.067,2,0,person,0.658,660.0,190.3,748.8,338.9,704.4,264.6,7.59,-4.1,8.63,8.58
2,0.067,4,0,person,0.529,500.4,284.8,677.4,570.0,588.9,427.4,2.56,2.0,3.25,-1.9
3,0.1,1,0,person,0.64,628.1,260.5,755.1,552.1,691.6,406.3,3.22,0.61,3.28,-1.72
3,0.1,2,0,person,0.661,662.5,187.3,752.5,335.3,707.5,261.3,3.11,-3.31,4.54,0.8
3,0.1,4,0,person,0.634,498.9,283.4,677.6,570.2,588.3,426.8,-0.6,-0.58,0.84,-2.58
4,0.133,1,0,person,0.72,629.2,258.7,756.0,551.0,692.6,404.9,1.0,-1.39,1.71,-2.0
4,0.133,2,0,person,0.685,665.2,186.0,758.4,336.0,711.8,261.0,4.3,-0.33,4.31,2.97
4,0.133,4,0,person,0.56,497.0,281.0,677.9,570.1,587.4,425.6,-0.85,-1.25,1.51,-0.67
5,0.167,1,0,person,0.605,628.5,257.7,753.6,547.2,691.1,402.5,-1.5,-2.42,2.85,-1.03
5,0.167,2,0,person,0.679,665.5,184.0,768.0,345.2,716.7,264.6,4.96,3.66,6.16,4.0
5,0.167,4,0,person,0.403,494.3,280.6,675.0,567.5,584.6,424.0,-2.81,-1.5,3.19,-0.26
6,0.2,1,0,person,0.518,627.1,255.9,751.1,544.1,689.1,400.0,-1.97,-2.47,3.16,-0.05
6,0.2,2,0,person,0.726,664.8,180.9,768.9,339.2,716.9,260.0,0.12,-4.6,4.6,-8.26
6,0.2,4,0,person,0.457,472.2,282.2,648.9,566.5,560.6,424.4,-24.04,0.31,24.04,1.81
7,0.233,1,0,person,0.628,622.3,252.8,746.7,543.4,684.5,398.1,-4.61,-1.87,4.97,0.59
7,0.233,2,0,person,0.662,666.3,174.3,773.4,331.9,719.8,253.1,2.99,-6.96,7.58,-2.36
7,0.233,4,0,person,0.552,476.8,279.0,653.8,562.8,565.3,420.9,4.73,-3.47,5.87,-3.78
8,0.267,1,0,person,0.571,616.8,243.6,743.4,541.5,680.1,392.6,-4.41,-5.55,7.09,-3.67
8,0.267,2,0,person,0.675,661.9,169.3,771.1,324.8,716.5,247.0,-3.38,-6.03,6.91,0.93
8,0.267,4,0,person,0.472,504.7,273.8,650.3,501.7,577.5,387.7,12.18,-33.15,35.31,-29.67
9,0.3,1,0,person,0.689,609.6,235.2,736.1,534.1,672.9,384.6,-7.23,-7.93,10.73,-2.38
9,0.3,2,0,person,0.75,654.5,160.7,771.6,321.5,713.0,241.1,-3.42,-5.95,6.86,0.08
9,0.3,4,0,person,0.582,460.8,267.2,629.9,535.8,545.4,401.5,-32.12,13.75,34.93,46.89
10,0.333,1,0,person,0.506,607.5,231.9,732.3,528.8,669.9,380.4,-2.98,-4.28,5.21,3.66
10,0.333,2,0,person,0.423,646.9,149.3,772.1,313.3,709.5,231.3,-3.53,-9.76,10.38,-3.82
10,0.333,4,0,person,0.551,456.9,256.1,637.7,541.3,547.3,398.7,1.94,-2.76,3.38,-16.51
11,0.367,1,0,person,0.52,616.3,162.6,767.4,517.6,691.8,340.1,21.95,-40.25,45.84,-35.97
11,0.367,4,0,person,0.485,434.8,245.5,616.2,537.1,525.5,391.3,-21.79,-7.4,23.02,-4.64
12,0.4,1,0,person,0.604,601.6,183.1,742.7,516.3,672.2,349.7,-19.64,9.55,21.84,49.8
12,0.4,4,0,person,0.479,465.2,233.3,622.9,476.8,544.1,355.1,18.53,-36.25,40.71,-28.84
12,0.4,2,0,person,0.51,635.0,124.0,770.9,294.9,702.9,209.5,-3.29,-10.93,11.41,-0.58
13,0.433,1,0,person,0.801,592.7,185.3,730.0,510.6,661.3,347.9,-10.85,-1.74,10.99,-11.29
13,0.433,4,0,person,0.567,424.9,220.5,609.3,511.3,517.1,365.9,-26.94,10.88,29.06,47.13
13,0.433,2,0,person,0.64,629.3,110.9,777.8,292.9,703.6,201.9,0.63,-7.62,7.64,3.31
14,0.467,1,0,person,0.77,583.6,175.6,722.7,506.8,653.2,341.2,-8.19,-6.75,10.61,-5.02
14,0.467,4,0,person,0.788,411.3,211.4,600.8,515.9,506.0,363.6,-11.06,-2.33,11.3,-13.21
14,0.467,2,0,person,0.774,628.6,98.3,785.9,288.8,707.3,193.5,3.71,-8.33,9.12,-0.71
15,0.5,1,0,person,0.768,578.3,167.0,719.1,503.3,648.7,335.2,-4.42,-6.01,7.46,0.75
15,0.5,4,0,person,0.774,404.3,207.5,594.4,518.0,499.3,362.7,-6.72,-0.87,6.78,1.46
15,0.5,2,0,person,0.728,628.2,88.9,789.7,280.5,708.9,184.7,1.67,-8.81,8.97,-0.48
16,0.533,1,0,person,0.724,576.2,160.0,716.9,496.9,646.6,328.4,-2.15,-6.77,7.1,-0.76
16,0.533,4,0,person,0.637,398.0,193.6,591.3,515.3,494.7,354.4,-4.67,-8.31,9.54,-7.44
16,0.533,2,0,person,0.703,623.2,80.5,789.5,276.3,706.4,178.4,-2.55,-6.29,6.79,2.51
17,0.567,1,0,person,0.691,575.9,155.7,717.4,497.2,646.7,326.4,0.1,-1.98,1.98,4.79
17,0.567,4,0,person,0.644,395.2,185.4,589.3,514.1,492.3,349.8,-2.39,-4.64,5.23,3.67
17,0.567,2,0,person,0.611,620.2,73.5,792.2,275.0,706.2,174.3,-0.21,-4.16,4.16,2.14
18,0.6,1,0,person,0.723,572.4,151.5,716.1,501.5,644.2,326.5,-2.43,0.06,2.43,2.03
18,0.6,4,0,person,0.731,392.8,183.2,585.0,513.7,488.9,348.5,-3.36,-1.33,3.61,3.32
18,0.6,2,0,person,0.72,616.4,68.9,791.4,274.0,703.9,171.5,-2.29,-2.82,3.63,1.34
19,0.633,1,0,person,0.658,570.1,150.6,714.2,506.1,642.1,328.3,-2.11,1.82,2.79,1.77
19,0.633,4,0,person,0.69,391.1,183.5,582.9,517.4,487.0,350.4,-1.88,1.96,2.72,3.29
