frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
0,0.0,1,0,person,0.879,92.8,422.1,285.6,634.3,189.2,528.2,0.0,0.0,0.0,0.0
0,0.0,2,0,person,0.385,1038.0,299.3,1163.7,539.2,1100.9,419.2,0.0,0.0,0.0,0.0
0,0.0,3,0,person,0.348,0.1,365.0,58.0,570.1,29.0,467.5,0.0,0.0,0.0,0.0
0,0.0,4,0,person,0.33,713.4,276.8,817.0,371.4,765.2,324.1,0.0,0.0,0.0,0.0
0,0.0,5,0,person,0.321,578.9,222.3,677.6,460.1,628.2,341.2,0.0,0.0,0.0,0.0
1,0.033,1,0,person,0.881,93.7,422.5,286.1,634.3,189.9,528.4,0.69,0.22,0.72,0.22
1,0.033,2,0,person,0.368,1040.4,302.0,1164.3,538.4,1102.4,420.2,1.51,0.94,1.77,0.94
1,0.033,3,0,person,0.338,0.1,364.6,58.3,570.8,29.2,467.7,0.22,0.12,0.25,0.12
2,0.067,1,0,person,0.882,94.0,423.1,286.2,634.6,190.1,528.9,0.19,0.45,0.48,0.23
2,0.067,2,0,person,0.446,1041.6,304.6,1164.1,538.3,1102.9,421.5,0.5,1.3,1.39,0.36
2,0.067,3,0,person,0.377,0.0,355.2,59.7,570.8,29.8,463.0,0.61,-4.65,4.69,-4.77
3,0.1,1,0,person,0.878,93.9,422.9,286.3,634.6,190.1,528.8,-0.01,-0.07,0.07,-0.52
3,0.1,2,0,person,0.408,1041.1,304.8,1163.8,538.9,1102.4,421.9,-0.42,0.4,0.58,-0.89
3,0.1,3,0,person,0.351,0.0,350.6,60.3,570.7,30.1,460.6,0.3,-2.39,2.41,2.26
4,0.133,1,0,person,0.89,95.0,423.7,287.0,634.9,191.0,529.3,0.94,0.5,1.07,0.58
4,0.133,2,0,person,0.428,1042.4,306.6,1163.7,537.8,1103.1,422.2,0.64,0.33,0.72,-0.07
4,0.133,3,0,person,0.388,0.0,356.5,59.8,571.0,29.9,463.7,-0.22,3.13,3.13,5.52
4,0.133,5,0,person,0.5,570.2,223.0,670.5,463.3,620.4,343.1,-1.97,0.48,2.03,0.12
5,0.167,1,0,person,0.892,95.6,423.9,287.7,635.1,191.6,529.5,0.6,0.21,0.63,-0.3
5,0.167,2,0,person,0.482,1043.4,306.7,1163.7,536.0,1103.5,421.3,0.44,-0.87,0.97,-1.2
5,0.167,3,0,person,0.38,1.0,366.7,58.6,571.2,29.8,468.9,-0.14,5.21,5.22,2.09
5,0.167,5,0,person,0.327,556.2,236.3,651.8,463.7,604.0,350.0,-16.35,6.85,17.73,6.37
6,0.2,1,0,person,0.893,96.0,424.2,288.1,635.3,192.1,529.7,0.43,0.23,0.49,0.03
6,0.2,2,0,person,0.47,1042.9,307.1,1163.2,536.3,1103.1,421.7,-0.46,0.37,0.59,1.23
6,0.2,3,0,person,0.384,1.4,368.9,58.6,571.3,30.0,470.1,0.22,1.19,1.21,-4.03
6,0.2,5,0,person,0.497,550.9,230.5,650.4,464.4,600.7,347.4,-3.35,-2.58,4.23,-9.44
7,0.233,1,0,person,0.895,96.0,424.3,288.3,635.4,192.1,529.8,0.06,0.12,0.14,-0.11
7,0.233,2,0,person,0.515,1043.2,307.3,1163.0,535.7,1103.1,421.5,0.05,-0.23,0.24,-0.6
7,0.233,3,0,person,0.392,0.1,358.4,60.3,571.4,30.2,464.9,0.22,-5.24,5.24,-6.42
7,0.233,5,0,person,0.557,546.8,228.1,648.0,464.0,597.4,346.1,-3.27,-1.34,3.53,1.25
8,0.267,1,0,person,0.897,95.9,424.2,288.7,635.8,192.3,530.0,0.17,0.14,0.22,0.01
8,0.267,2,0,person,0.46,1042.2,305.3,1164.3,538.4,1103.3,421.9,0.15,0.38,0.41,0.61
8,0.267,3,0,person,0.4,0.0,353.3,60.9,571.9,30.4,462.6,0.2,-2.29,2.3,2.94
8,0.267,5,0,person,0.727,545.5,223.8,650.5,466.2,598.0,345.0,0.65,-1.06,1.24,0.28
9,0.3,1,0,person,0.899,95.9,424.4,288.9,636.2,192.4,530.3,0.1,0.29,0.31,0.15
9,0.3,2,0,person,0.464,1043.8,305.8,1164.4,536.1,1104.1,421.0,0.83,-0.89,1.21,-1.27
9,0.3,3,0,person,0.396,0.0,349.1,61.3,572.3,30.6,460.7,0.2,-1.91,1.92,0.38
9,0.3,5,0,person,0.761,543.0,222.0,650.2,468.1,596.6,345.0,-1.41,0.01,1.41,1.06
10,0.333,1,0,person,0.899,96.0,425.0,288.9,636.5,192.4,530.7,0.04,0.45,0.45,0.16
10,0.333,2,0,person,0.444,1044.0,305.5,1164.7,536.4,1104.3,420.9,0.26,-0.02,0.26,0.87
10,0.333,3,0,person,0.391,0.0,348.4,61.2,572.7,30.6,460.6,-0.04,-0.13,0.14,1.78
10,0.333,5,0,person,0.801,539.7,220.9,648.0,470.2,593.9,345.6,-2.77,0.53,2.82,0.53
11,0.367,1,0,person,0.898,95.8,425.3,288.7,636.8,192.3,531.1,-0.15,0.33,0.37,-0.12
11,0.367,2,0,person,0.429,1043.8,306.2,1164.6,537.1,1104.2,421.6,-0.17,0.69,0.71,0.71
11,0.367,3,0,person,0.407,0.0,349.8,60.7,572.9,30.4,461.3,-0.21,0.79,0.82,0.92
11,0.367,5,0,person,0.748,536.3,219.9,644.6,469.8,590.5,344.8,-3.39,-0.72,3.46,-1.25
12,0.4,1,0,person,0.901,96.0,425.6,289.0,637.1,192.5,531.3,0.24,0.26,0.35,-0.07
12,0.4,2,0,person,0.419,1044.2,305.9,1164.8,536.6,1104.5,421.2,0.29,-0.38,0.48,-1.07
12,0.4,3,0,person,0.379,0.0,357.1,59.9,573.2,29.9,465.1,-0.44,3.78,3.81,2.99
12,0.4,5,0,person,0.776,533.6,219.6,641.2,468.9,587.4,344.3,-3.1,-0.58,3.16,0.13
13,0.433,1,0,person,0.898,96.2,426.0,289.1,637.2,192.7,531.6,0.15,0.28,0.32,0.02
13,0.433,2,0,person,0.427,1045.2,304.7,1165.9,536.0,1105.5,420.3,1.05,-0.91,1.39,-0.53
13,0.433,3,0,person,0.379,0.5,364.4,58.9,573.5,29.7,469.0,-0.27,3.85,3.86,0.07
13,0.433,5,0,person,0.804,532.3,218.8,639.3,467.2,585.8,343.0,-1.54,-1.25,1.98,-0.67
14,0.467,1,0,person,0.889,96.3,425.9,289.3,637.4,192.8,531.7,0.18,0.06,0.19,-0.22
14,0.467,2,0,person,0.407,1045.4,304.2,1166.3,536.3,1105.8,420.2,0.3,-0.09,0.32,0.82
14,0.467,3,0,person,0.361,0.7,366.7,58.6,573.8,29.6,470.2,-0.02,1.26,1.26,-2.6
14,0.467,5,0,person,0.812,532.1,217.9,638.3,464.6,585.2,341.2,-0.59,-1.77,1.86,-0.52
15,0.5,1,0,person,0.888,96.3,425.8,289.4,637.4,192.9,531.6,0.03,-0.04,0.05,-0.1
15,0.5,2,0,person,0.426,1045.1,304.6,1165.8,536.4,1105.5,420.5,-0.33,0.29,0.44,0.38
15,0.5,3,0,person,0.361,0.8,368.8,58.3,574.0,29.5,471.4,-0.1,1.17,1.17,-0.09
15,0.5,5,0,person,0.824,532.0,217.2,637.4,462.2,584.7,339.7,-0.52,-1.58,1.66,0.19
16,0.533,1,0,person,0.888,96.2,425.7,289.6,637.5,192.9,531.6,0.05,-0.03,0.06,0.01
16,0.533,2,0,person,0.376,1044.3,306.0,1165.0,538.1,1104.7,422.0,-0.83,1.49,1.7,1.2
16,0.533,3,0,person,0.354,0.7,369.4,58.3,574.2,29.5,471.8,-0.03,0.4,0.4,-0.77
16,0.533,5,0,person,0.829,531.2,217.4,636.2,461.7,583.7,339.6,-1.01,-0.09,1.01,1.49
17,0.567,1,0,person,0.891,87.4,425.1,278.9,638.2,183.2,531.7,-9.76,0.06,9.76,0.09
17,0.567,2,0,person,0.346,1027.7,243.2,1177.8,539.0,1102.8,391.1,-1.9,-30.94,31.0,-32.42
17,0.567,3,0,person,0.368,0.0,361.2,59.9,574.8,30.0,468.0,0.44,-3.81,3.83,-4.21
17,0.567,5,0,person,0.73,532.5,218.0,637.2,462.0,584.9,340.0,1.17,0.44,1.25,0.53
18,0.6,1,0,person,0.889,85.3,425.8,274.3,639.0,179.8,532.4,-3.34,0.73,3.42,0.67
18,0.6,2,0,person,0.352,1023.7,221.1,1182.0,540.1,1102.8,380.6,0.09,-10.49,10.49,20.44
18,0.6,3,0,person,0.383,1.3,370.5,59.2,575.3,30.2,472.9,0.27,4.9,4.91,8.71
18,0.6,5,0,person,0.713,532.6,219.7,636.5,463.7,584.6,341.7,-0.32,1.7,1.72,1.25
19,0.633,1,0,person,0.89,85.2,426.1,272.1,639.6,178.7,532.9,-1.13,0.47,1.22,-0.26
19,0.633,3,0,person,0.374,1.5,372.0,59.2,575.4,30.3,473.7,0.1,0.82,0.83,-4.08
19,0.633,5,0,person,0.751,534.6,220.4,638.1,464.2,586.4,342.3,1.79,0.58,1.88,-1.11
20,0.667,1,0,person,0.889,86.2,426.5,271.1,640.3,178.6,533.4,-0.04,0.53,0.54,0.07
20,0.667,3,0,person,0.357,1.5,373.2,59.3,575.8,30.4,474.5,0.04,0.79,0.79,-0.03
20,0.667,5,0,person,0.749,538.4,219.8,641.9,463.5,590.2,341.7,3.81,-0.64,3.86,-1.22
21,0.7,1,0,person,0.892,87.6,426.7,270.3,640.3,178.9,533.5,0.3,0.11,0.32,-0.43
21,0.7,3,0,person,0.365,1.7,374.5,59.5,576.0,30.6,475.3,0.24,0.79,0.82,-0.0
21,0.7,5,0,person,0.807,541.8,220.0,645.3,463.5,593.6,341.8,3.39,0.14,3.39,0.78
22,0.733,1,0,person,0.886,88.6,426.9,269.5,640.6,179.1,533.7,0.12,0.25,0.28,0.15
22,0.733,3,0,person,0.395,1.6,373.2,60.2,576.5,30.9,474.9,0.29,-0.43,0.52,-1.22
22,0.733,5,0,person,0.766,544.5,220.3,648.1,463.2,596.3,341.8,2.74,-0.03,2.74,-0.17
23,0.767,1,0,person,0.883,89.4,426.9,268.9,641.1,179.2,534.0,0.1,0.26,0.28,0.01
23,0.767,3,0,person,0.394,1.6,374.1,60.3,576.9,30.9,475.5,0.03,0.69,0.69,1.12
23,0.767,5,0,person,0.699,546.8,220.7,650.0,463.5,598.4,342.1,2.09,0.34,2.12,0.37
24,0.8,1,0,person,0.877,90.5,427.6,268.8,642.2,179.7,534.9,0.49,0.88,1.0,0.62
24,0.8,3,0,person,0.393,2.1,378.6,60.2,577.6,31.1,478.1,0.22,2.56,2.57,1.87
24,0.8,5,0,person,0.706,550.8,221.5,653.5,463.7,602.2,342.6,3.78,0.53,3.81,0.19
25,0.833,1,0,person,0.882,91.3,427.4,268.0,641.9,179.6,534.6,-0.03,-0.27,0.27,-1.15
25,0.833,3,0,person,0.379,2.0,380.3,59.9,577.5,31.0,478.9,-0.16,0.81,0.83,-1.74
25,0.833,5,0,person,0.53,553.7,222.0,655.9,464.0,604.8,343.0,2.65,0.35,2.68,-0.18
26,0.867,1,0,person,0.879,92.4,427.8,267.5,641.9,179.9,534.8,0.29,0.2,0.35,0.48
26,0.867,3,0,person,0.396,2.1,381.7,60.1,577.8,31.1,479.8,0.17,0.83,0.85,0.01
26,0.867,5,0,person,0.738,556.6,222.2,657.9,462.8,607.2,342.5,2.43,-0.51,2.49,-0.86
27,0.9,1,0,person,0.873,93.3,428.7,267.0,642.6,180.1,535.7,0.23,0.84,0.87,0.63
27,0.9,3,0,person,0.4,1.6,367.9,63.6,576.8,32.6,472.3,1.46,-7.41,7.55,-8.24
27,0.9,5,0,person,0.691,559.1,223.6,659.9,463.5,609.5,343.6,2.27,1.12,2.53,1.63
28,0.933,1,0,person,0.875,93.6,428.9,266.3,642.9,180.0,535.9,-0.18,0.2,0.27,-0.63
28,0.933,3,0,person,0.392,1.1,371.2,62.7,578.0,31.9,474.6,-0.7,2.26,2.36,9.66
28,0.933,5,0,person,0.761,558.3,223.1,658.7,463.8,608.5,343.5,-1.02,-0.13,1.03,-1.25
29,0.967,1,0,person,0.878,94.1,428.2,265.7,642.3,179.9,535.3,-0.04,-0.61,0.61,-0.81
29,0.967,3,0,person,0.396,0.4,370.5,62.2,578.1,31.3,474.3,-0.62,-0.31,0.69,-2.56
29,0.967,5,0,person,0.726,559.9,223.5,660.3,464.2,610.1,343.9,1.65,0.39,1.69,0.52
30,1.0,1,0,person,0.874,94.6,428.8,265.2,642.7,179.9,535.7,-0.03,0.47,0.47,1.08
30,1.0,3,0,person,0.393,0.1,369.5,62.2,578.3,31.1,473.9,-0.16,-0.39,0.42,-0.08
30,1.0,5,0,person,0.461,557.1,233.4,652.3,464.7,604.7,349.0,-5.42,5.16,7.48,4.77
31,1.033,1,0,person,0.876,95.0,428.9,264.8,642.8,179.9,535.8,0.0,0.12,0.12,-0.35
31,1.033,3,0,person,0.406,0.3,360.4,64.7,576.8,32.5,468.6,1.34,-5.27,5.44,-4.89
31,1.033,5,0,person,0.421,556.6,233.1,651.2,465.1,603.9,349.1,-0.82,0.1,0.82,-5.06
32,1.067,1,0,person,0.877,95.5,428.4,264.8,642.6,180.1,535.5,0.23,-0.36,0.42,-0.48
32,1.067,3,0,person,0.404,0.4,356.8,65.9,576.3,33.1,466.5,0.66,-2.11,2.21,3.16
32,1.067,5,0,person,0.476,556.9,230.6,651.9,465.3,604.4,347.9,0.54,-1.17,1.29,-1.27
33,1.1,1,0,person,0.873,96.1,428.3,265.1,643.0,180.6,535.7,0.46,0.2,0.5,0.56
33,1.1,3,0,person,0.395,0.1,363.0,64.0,577.7,32.1,470.3,-1.08,3.82,3.97,5.93
33,1.1,5,0,person,0.527,559.3,229.4,654.6,465.9,606.9,347.6,2.5,-0.3,2.52,0.86
34,1.133,1,0,person,0.856,97.9,429.6,266.3,644.1,182.1,536.8,1.53,1.14,1.91,0.94
34,1.133,3,0,person,0.406,0.0,363.5,64.2,579.8,32.1,471.7,0.06,1.32,1.32,-2.5
34,1.133,5,0,person,0.521,562.7,244.8,651.7,465.8,607.2,355.3,0.29,7.63,7.64,7.94
35,1.167,1,0,person,0.84,100.8,430.7,268.7,645.3,184.7,538.0,2.64,1.18,2.89,0.04
35,1.167,3,0,person,0.503,1.8,375.4,63.6,581.1,32.7,478.2,0.56,6.58,6.61,5.26
35,1.167,5,0,person,0.576,566.3,254.4,652.3,467.1,609.3,360.7,2.07,5.46,5.84,-2.18
36,1.2,1,0,person,0.838,102.9,431.2,270.5,646.1,186.7,538.7,1.96,0.66,2.06,-0.52
36,1.2,3,0,person,0.551,2.3,376.5,64.6,581.9,33.4,479.2,0.77,0.94,1.22,-5.64
36,1.2,5,0,person,0.414,570.1,241.0,663.0,467.9,616.5,354.4,7.24,-6.29,9.59,-11.75
37,1.233,1,0,person,0.83,104.6,431.3,271.0,645.4,187.8,538.3,1.12,-0.35,1.17,-1.01
37,1.233,3,0,person,0.642,2.6,377.4,65.4,582.7,34.0,480.1,0.55,0.88,1.04,-0.06
37,1.233,5,0,person,0.543,575.9,234.1,674.1,469.6,625.0,351.9,8.46,-2.58,8.85,3.71
38,1.267,1,0,person,0.834,106.2,431.4,272.7,646.5,189.5,538.9,1.65,0.61,1.76,0.97
38,1.267,3,0,person,0.715,3.2,375.9,67.7,584.4,35.5,480.1,1.47,0.07,1.47,-0.81
38,1.267,5,0,person,0.432,572.7,248.2,665.1,471.1,618.9,359.6,-6.14,7.79,9.91,10.37
39,1.3,1,0,person,0.833,107.4,431.4,273.8,647.5,190.6,539.5,1.12,0.52,1.24,-0.09
39,1.3,3,0,person,0.75,3.6,377.9,68.7,585.8,36.1,481.8,0.66,1.69,1.81,1.61
39,1.3,5,0,person,0.367,569.9,264.5,654.9,472.1,612.4,368.3,-6.42,8.64,10.76,0.85
40,1.333,1,0,person,0.833,107.9,431.1,273.6,647.2,190.7,539.2,0.17,-0.28,0.33,-0.81
40,1.333,3,0,person,0.734,3.6,379.8,68.8,585.7,36.2,482.8,0.05,0.94,0.94,-0.74
40,1.333,5,0,person,0.367,570.8,284.4,647.3,471.8,609.1,378.1,-3.39,9.83,10.4,1.2
40,1.333,15,0,person,0.368,1059.4,221.7,1184.4,548.7,1121.9,385.2,0.0,0.0,0.0,0.0
41,1.367,1,0,person,0.836,108.0,430.8,272.8,646.4,190.4,538.6,-0.33,-0.56,0.65,-0.28
41,1.367,3,0,person,0.671,1.9,374.4,68.9,585.2,35.4,479.8,-0.75,-2.94,3.03,-3.88
41,1.367,5,0,person,0.399,569.9,254.0,658.1,470.6,614.0,362.3,4.93,-15.77,16.52,-25.6
41,1.367,15,0,person,0.355,1058.8,218.3,1185.0,548.5,1121.9,383.4,-0.01,-1.84,1.84,-1.84
42,1.4,1,0,person,0.838,108.3,430.7,272.4,646.1,190.3,538.4,-0.07,-0.18,0.2,0.38
42,1.4,3,0,person,0.645,1.1,370.6,69.5,585.1,35.3,477.9,-0.13,-1.96,1.96,0.98
42,1.4,5,0,person,0.358,568.9,268.2,650.5,470.4,609.7,369.3,-4.33,6.97,8.2,22.74
42,1.4,15,0,person,0.389,1059.2,216.0,1186.1,548.2,1122.6,382.1,0.72,-1.27,1.46,0.57
