frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
0,0.0,1,0,person,0.839,825.6,297.4,963.2,554.8,894.4,426.1,0.0,0.0,0.0,0.0
1,0.033,1,0,person,0.841,825.5,299.7,962.1,555.1,893.8,427.4,-0.58,1.31,1.44,1.31
2,0.067,1,0,person,0.855,825.0,300.3,962.0,556.4,893.5,428.3,-0.27,0.92,0.96,-0.39
2,0.067,2,0,person,0.462,980.0,164.7,1071.4,347.8,1025.7,256.2,0.0,0.0,0.0,0.0
3,0.1,1,0,person,0.843,825.0,301.9,961.3,556.7,893.2,429.3,-0.36,1.0,1.06,0.08
3,0.1,2,0,person,0.369,981.3,164.5,1072.9,348.0,1027.1,256.2,1.43,-0.01,1.43,-0.01
4,0.133,1,0,person,0.844,825.4,301.9,960.1,553.2,892.7,427.5,-0.44,-1.79,1.84,-2.79
4,0.133,2,0,person,0.311,982.7,155.2,1078.3,346.5,1030.5,250.9,3.34,-5.33,6.29,-5.33
5,0.167,1,0,person,0.854,825.5,302.3,960.1,553.0,892.8,427.7,0.05,0.13,0.14,1.92
6,0.2,1,0,person,0.855,827.1,303.4,961.5,552.7,894.3,428.1,1.53,0.43,1.59,0.3
7,0.233,1,0,person,0.848,827.5,303.7,962.6,552.9,895.0,428.3,0.72,0.18,0.74,-0.25
8,0.267,1,0,person,0.838,827.2,303.5,963.1,552.8,895.1,428.2,0.08,-0.12,0.14,-0.3
9,0.3,1,0,person,0.798,827.8,302.0,964.3,550.7,896.1,426.4,0.96,-1.78,2.02,-1.66
10,0.333,1,0,person,0.754,826.6,299.4,963.5,548.0,895.1,423.7,-0.99,-2.68,2.85,-0.9
11,0.367,1,0,person,0.811,829.5,297.9,967.4,546.8,898.5,422.4,3.36,-1.33,3.62,1.35
12,0.4,1,0,person,0.755,831.3,295.8,970.8,546.9,901.1,421.3,2.61,-1.05,2.81,0.28
13,0.433,1,0,person,0.814,832.2,294.9,972.9,546.7,902.6,420.8,1.51,-0.5,1.59,0.56
14,0.467,1,0,person,0.827,833.7,294.3,974.5,545.4,904.1,419.9,1.53,-0.97,1.81,-0.47
15,0.5,1,0,person,0.836,835.7,292.7,978.2,545.5,907.0,419.1,2.86,-0.75,2.95,0.22
16,0.533,1,0,person,0.844,837.3,290.5,981.2,543.9,909.3,417.2,2.3,-1.86,2.96,-1.11
17,0.567,1,0,person,0.821,838.7,292.5,982.7,544.3,910.7,418.4,1.45,1.17,1.86,3.03
18,0.6,1,0,person,0.82,840.0,294.5,985.3,546.6,912.6,420.5,1.93,2.13,2.87,0.96
19,0.633,1,0,person,0.853,841.5,295.4,988.4,548.5,915.0,421.9,2.33,1.39,2.71,-0.74
20,0.667,1,0,person,0.865,840.2,296.7,992.3,557.7,916.3,427.2,1.31,5.25,5.41,3.85
