frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
0,0.0,1,0,person,0.859,329.4,284.0,436.2,517.7,382.8,400.8,0.0,0.0,0.0,0.0
0,0.0,2,0,person,0.694,432.6,258.9,505.0,468.1,468.8,363.5,0.0,0.0,0.0,0.0
0,0.0,3,0,person,0.671,628.4,233.4,716.4,368.6,672.4,301.0,0.0,0.0,0.0,0.0
0,0.0,4,0,person,0.624,715.3,225.4,774.7,400.2,745.0,312.8,0.0,0.0,0.0,0.0
0,0.0,5,30,skis,0.367,791.1,119.9,867.7,406.0,829.4,263.0,0.0,0.0,0.0,0.0
1,0.033,1,0,person,0.858,329.6,283.9,435.2,515.0,382.4,399.5,-0.39,-1.37,1.43,-1.37
1,0.033,2,0,person,0.755,433.1,258.9,505.6,468.9,469.4,363.9,0.53,0.42,0.68,0.42
1,0.033,3,0,person,0.698,629.8,232.6,718.2,368.3,674.0,300.4,1.61,-0.55,1.7,-0.55
1,0.033,4,0,person,0.597,716.1,225.5,774.6,397.6,745.4,311.5,0.39,-1.33,1.39,-1.33
1,0.033,5,30,skis,0.369,791.0,120.1,868.2,408.0,829.6,264.1,0.18,1.11,1.13,1.11
2,0.067,1,0,person,0.867,329.3,283.9,434.8,514.8,382.1,399.4,-0.32,-0.1,0.34,1.27
2,0.067,2,0,person,0.796,433.9,259.2,506.9,470.7,470.4,364.9,1.06,1.05,1.49,0.63
2,0.067,3,0,person,0.651,633.5,234.4,720.6,368.7,677.0,301.5,3.03,1.08,3.22,1.63
2,0.067,4,0,person,0.644,716.2,225.0,774.3,395.9,745.2,310.4,-0.15,-1.06,1.07,0.27
3,0.1,1,0,person,0.871,328.7,284.0,434.2,514.9,381.4,399.5,-0.63,0.12,0.64,0.22
3,0.1,2,0,person,0.818,435.4,261.0,507.5,470.1,471.4,365.5,1.0,0.59,1.16,-0.46
3,0.1,3,0,person,0.55,636.3,236.9,722.2,369.4,679.2,303.2,2.2,1.64,2.75,0.56
3,0.1,4,0,person,0.644,715.8,224.3,774.3,396.7,745.0,310.5,-0.19,0.01,0.19,1.07
3,0.1,5,30,skis,0.446,791.1,118.9,869.7,412.0,830.4,265.5,0.4,0.69,0.8,-0.21
4,0.133,1,0,person,0.868,328.9,283.9,434.4,515.0,381.7,399.5,0.23,0.0,0.23,-0.11
4,0.133,2,0,person,0.833,435.5,260.9,507.5,469.8,471.5,365.4,0.1,-0.16,0.19,-0.75
4,0.133,3,0,person,0.509,639.4,242.7,720.9,368.6,680.2,305.7,0.91,2.49,2.65,0.85
4,0.133,4,0,person,0.623,715.7,223.9,772.7,392.0,744.2,307.9,-0.82,-2.51,2.64,-2.51
4,0.133,5,30,skis,0.377,790.5,118.9,870.0,415.3,830.3,267.1,-0.12,1.63,1.64,0.94
5,0.167,1,0,person,0.861,328.6,284.0,434.2,515.5,381.4,399.8,-0.26,0.28,0.39,0.28
5,0.167,2,0,person,0.828,435.7,260.7,507.5,469.2,471.6,365.0,0.06,-0.41,0.41,-0.24
5,0.167,3,0,person,0.557,640.9,237.6,725.2,368.4,683.1,303.0,2.9,-2.67,3.94,-5.16
5,0.167,4,0,person,0.646,714.8,223.3,772.7,394.3,743.8,308.8,-0.44,0.89,0.99,3.4
5,0.167,5,30,skis,0.399,789.8,119.4,869.5,416.8,829.7,268.1,-0.6,1.02,1.18,-0.61
6,0.2,1,0,person,0.862,328.5,284.1,433.9,515.1,381.2,399.6,-0.17,-0.15,0.23,-0.43
6,0.2,2,0,person,0.83,436.9,261.3,508.1,467.8,472.5,364.5,0.91,-0.43,1.01,-0.02
6,0.2,3,0,person,0.49,641.9,240.0,723.8,367.8,682.9,303.9,-0.2,0.94,0.96,3.6
6,0.2,4,0,person,0.664,714.7,223.0,773.1,396.4,743.9,309.7,0.14,0.86,0.87,-0.03
6,0.2,5,30,skis,0.382,789.5,120.1,868.5,415.3,829.0,267.7,-0.67,-0.43,0.8,-1.44
7,0.233,1,0,person,0.851,328.6,283.9,434.3,515.4,381.4,399.6,0.21,-0.0,0.21,0.15
7,0.233,2,0,person,0.789,434.8,260.2,505.8,467.1,470.3,363.7,-2.2,-0.88,2.37,-0.45
7,0.233,3,0,person,0.447,644.7,239.7,725.0,366.7,684.9,303.2,2.02,-0.72,2.14,-1.65
7,0.233,4,0,person,0.547,714.7,222.9,773.4,397.7,744.1,310.3,0.18,0.58,0.61,-0.27
7,0.233,5,30,skis,0.314,790.1,121.0,867.5,410.7,828.8,265.8,-0.19,-1.87,1.88,-1.45
8,0.267,1,0,person,0.851,328.5,283.6,434.0,514.9,381.2,399.2,-0.19,-0.36,0.41,-0.36
8,0.267,2,0,person,0.794,433.0,259.2,503.3,466.4,468.2,362.8,-2.12,-0.88,2.3,-0.0
8,0.267,3,0,person,0.443,648.4,241.2,726.4,366.7,687.4,303.9,2.56,0.74,2.66,1.46
8,0.267,4,0,person,0.5,713.5,223.4,772.6,399.9,743.0,311.7,-1.04,1.38,1.73,0.8
9,0.3,1,0,person,0.852,328.1,283.6,433.7,514.6,380.9,399.1,-0.36,-0.16,0.4,0.2
9,0.3,2,0,person,0.792,432.2,258.4,501.6,465.9,466.9,362.2,-1.29,-0.6,1.42,0.28
9,0.3,3,0,person,0.434,650.7,240.3,728.6,367.7,689.6,304.0,2.21,0.05,2.21,-0.69
9,0.3,4,0,person,0.43,714.3,223.3,770.4,390.3,742.4,306.8,-0.69,-4.84,4.89,-6.22
9,0.3,5,30,skis,0.308,790.2,121.6,867.1,409.6,828.6,265.6,-0.08,-0.12,0.15,0.88
10,0.333,1,0,person,0.854,328.1,283.5,434.1,515.7,381.1,399.6,0.25,0.5,0.56,0.65
10,0.333,2,0,person,0.78,431.8,257.8,500.5,466.0,466.2,361.9,-0.7,-0.24,0.74,0.35
10,0.333,4,0,person,0.336,704.0,223.1,764.1,396.4,734.1,309.8,-8.26,2.96,8.78,7.8
10,0.333,5,30,skis,0.359,790.4,122.1,867.0,409.5,828.7,265.8,0.06,0.24,0.25,0.36
11,0.367,1,0,person,0.865,327.0,283.3,433.1,515.9,380.1,399.6,-1.08,0.01,1.08,-0.49
11,0.367,2,0,person,0.77,432.1,257.6,500.3,467.2,466.2,362.4,0.0,0.48,0.48,0.72
11,0.367,4,0,person,0.378,704.4,223.0,767.2,403.0,735.8,313.0,1.75,3.22,3.66,0.26
11,0.367,5,30,skis,0.381,790.6,122.9,866.8,408.3,828.7,265.6,-0.02,-0.19,0.2,-0.43
12,0.4,1,0,person,0.863,326.0,283.2,432.2,516.4,379.1,399.8,-0.99,0.22,1.01,0.21
