frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
7,0.233,9000,32,sports ball,0.6,287.3,457.0,307.3,471.0,297.3,464.0,0.0,0.0,0.0,0.0
8,0.267,9001,32,sports ball,0.339,288.1,456.9,310.6,471.6,299.3,464.3,0.0,0.0,0.0,0.0
15,0.5,9002,32,sports ball,0.307,336.9,401.6,367.7,419.4,352.3,410.5,0.0,0.0,0.0,0.0
24,0.8,9003,32,sports ball,0.562,347.5,455.4,368.4,470.1,358.0,462.8,0.0,0.0,0.0,0.0
24,0.8,9004,32,sports ball,0.369,369.1,401.7,399.6,419.6,384.3,410.6,0.0,0.0,0.0,0.0
25,0.833,4,32,sports ball,0.637,348.8,456.6,368.5,470.4,358.7,463.5,0.0,0.0,0.0,0.0
26,0.867,4,32,sports ball,0.36,350.2,456.2,371.2,470.9,360.7,463.6,2.05,0.03,2.05,0.03
42,1.4,9005,32,sports ball,0.556,408.3,456.2,432.4,471.1,420.4,463.7,0.0,0.0,0.0,0.0
43,1.433,6,32,sports ball,0.571,409.3,457.0,431.9,470.8,420.6,463.9,0.0,0.0,0.0,0.0
50,1.667,9006,32,sports ball,0.412,461.4,401.0,489.9,420.4,475.7,410.7,0.0,0.0,0.0,0.0
51,1.7,7,32,sports ball,0.487,461.5,401.2,493.8,423.4,477.7,412.3,0.0,0.0,0.0,0.0
52,1.733,7,32,sports ball,0.469,463.5,401.9,498.1,425.7,480.8,413.8,3.11,1.51,3.45,1.51
53,1.767,7,32,sports ball,0.493,463.6,402.1,505.8,431.4,484.7,416.8,3.95,2.98,4.95,1.47
54,1.8,7,32,sports ball,0.446,464.6,401.5,513.1,435.6,488.9,418.6,4.16,1.78,4.52,-1.2
55,1.833,9007,32,sports ball,0.367,476.7,401.5,508.1,434.8,492.4,418.1,0.0,0.0,0.0,0.0
60,2.0,9008,32,sports ball,0.405,468.2,458.6,493.2,472.2,480.7,465.4,0.0,0.0,0.0,0.0
61,2.033,9,32,sports ball,0.403,469.2,458.2,494.9,472.0,482.1,465.1,0.0,0.0,0.0,0.0
63,2.1,9,32,sports ball,0.317,471.6,457.3,499.2,472.1,485.4,464.7,1.69,-0.2,1.71,-0.1
103,3.433,9009,0,person,0.32,638.4,401.6,683.5,549.7,660.9,475.7,0.0,0.0,0.0,0.0
105,3.5,9010,0,person,0.317,644.4,401.6,690.2,550.0,667.3,475.8,0.0,0.0,0.0,0.0
129,4.3,9011,0,person,0.402,727.6,400.7,772.0,549.3,749.8,475.0,0.0,0.0,0.0,0.0
137,4.567,9012,0,person,0.331,758.1,399.2,803.1,549.8,780.6,474.5,0.0,0.0,0.0,0.0
138,4.6,13,0,person,0.485,760.2,399.7,805.0,549.8,782.6,474.7,0.0,0.0,0.0,0.0
139,4.633,13,0,person,0.33,763.4,401.6,807.5,549.7,785.5,475.7,2.85,0.94,3.0,0.94
159,5.3,9013,0,person,0.382,832.2,400.4,879.5,550.1,855.9,475.2,0.0,0.0,0.0,0.0
228,7.6,9014,0,person,0.344,1075.1,398.9,1120.2,549.5,1097.7,474.2,0.0,0.0,0.0,0.0
230,7.667,9015,0,person,0.345,1084.3,400.0,1125.6,549.4,1105.0,474.7,0.0,0.0,0.0,0.0
231,7.7,9016,0,person,0.316,1086.9,399.3,1129.6,549.5,1108.2,474.4,0.0,0.0,0.0,0.0
232,7.733,9017,0,person,0.303,1090.1,399.1,1135.0,549.7,1112.6,474.4,0.0,0.0,0.0,0.0
233,7.767,18,0,person,0.413,1091.6,399.1,1136.5,549.6,1114.0,474.3,0.0,0.0,0.0,0.0
238,7.933,9018,10,fire hydrant,0.466,281.1,400.5,324.8,550.8,303.0,475.6,0.0,0.0,0.0,0.0
240,8.0,9019,32,sports ball,0.304,295.8,401.8,325.6,434.7,310.7,418.3,0.0,0.0,0.0,0.0
242,8.067,9020,32,sports ball,0.554,302.8,402.0,333.4,433.8,318.1,417.9,0.0,0.0,0.0,0.0
243,8.1,21,32,sports ball,0.595,304.1,401.8,335.4,434.3,319.8,418.0,0.0,0.0,0.0,0.0
244,8.133,9021,32,sports ball,0.394,285.6,457.3,304.2,470.9,294.9,464.1,0.0,0.0,0.0,0.0
246,8.2,9022,0,person,0.528,308.8,399.4,352.5,549.7,330.7,474.6,0.0,0.0,0.0,0.0
246,8.2,9023,32,sports ball,0.425,316.0,401.5,348.2,434.1,332.1,417.8,0.0,0.0,0.0,0.0
247,8.233,23,0,person,0.554,311.5,400.7,354.9,550.0,333.2,475.4,0.0,0.0,0.0,0.0
248,8.267,23,0,person,0.454,315.4,400.8,358.6,549.8,337.0,475.3,3.78,-0.09,3.78,-0.09
252,8.4,9024,32,sports ball,0.395,336.7,401.3,367.8,434.0,352.2,417.7,0.0,0.0,0.0,0.0
255,8.5,9025,32,sports ball,0.346,347.2,401.5,378.9,434.6,363.0,418.0,0.0,0.0,0.0,0.0
256,8.533,23,0,fire hydrant,0.433,343.4,400.5,388.5,556.3,366.0,478.4,3.62,0.39,3.65,0.06
262,8.733,9026,32,sports ball,0.409,346.4,456.5,367.6,470.0,357.0,463.3,0.0,0.0,0.0,0.0
270,9.0,9027,32,sports ball,0.348,400.4,401.6,431.3,434.7,415.9,418.2,0.0,0.0,0.0,0.0
274,9.133,9028,32,sports ball,0.407,414.4,401.8,445.1,435.0,429.7,418.4,0.0,0.0,0.0,0.0
275,9.167,9029,32,sports ball,0.318,416.4,401.4,448.1,435.5,432.3,418.4,0.0,0.0,0.0,0.0
278,9.267,9030,32,sports ball,0.357,428.2,401.9,458.5,434.8,443.3,418.3,0.0,0.0,0.0,0.0
279,9.3,9031,32,sports ball,0.326,432.0,402.0,462.2,434.5,447.1,418.3,0.0,0.0,0.0,0.0
283,9.433,9032,32,sports ball,0.378,445.0,401.8,475.5,434.0,460.3,417.9,0.0,0.0,0.0,0.0
284,9.467,33,32,sports ball,0.422,447.8,401.5,479.3,434.7,463.5,418.1,0.0,0.0,0.0,0.0
292,9.733,9033,32,sports ball,0.42,477.3,401.8,507.3,435.2,492.3,418.5,0.0,0.0,0.0,0.0
293,9.767,9034,32,sports ball,0.38,480.2,401.7,511.4,435.8,495.8,418.7,0.0,0.0,0.0,0.0
297,9.9,9035,32,sports ball,0.373,467.8,459.9,492.0,472.2,479.9,466.0,0.0,0.0,0.0,0.0
298,9.933,9036,32,sports ball,0.333,469.3,458.4,495.1,471.7,482.2,465.1,0.0,0.0,0.0,0.0
